Index,Name
122,MUSE_right_fug_fusiform_gyrus
123,MUSE_left_fug_fusiform_gyrus
124,MUSE_right_gre_gyrus_Rectus
125,MUSE_left_gre_gyrus_Rectus
128,MUSE_right_iog_inferior_occipital_gyrus
129,MUSE_left_iog_inferior_occipital_gyrus
132,MUSE_right_itg_inferior_temporal_gyrus
133,MUSE_left_itg_inferior_temporal_gyrus
134,MUSE_right_Lig_Lingual_gyrus
135,MUSE_left_Lig_Lingual_gyrus
136,MUSE_right_Lorg_Lateral_orbital_gyrus
137,MUSE_left_Lorg_Lateral_orbital_gyrus
138,MUSE_right_mcgg_middle_cingulate_gyrus
139,MUSE_left_mcgg_middle_cingulate_gyrus
140,MUSE_right_mfc_medial_frontal_cortex
141,MUSE_left_mfc_medial_frontal_cortex
142,MUSE_right_mfg_middle_frontal_gyrus
143,MUSE_left_mfg_middle_frontal_gyrus
144,MUSE_right_mog_middle_occipital_gyrus
145,MUSE_left_mog_middle_occipital_gyrus
146,MUSE_right_morg_medial_orbital_gyrus
147,MUSE_left_morg_medial_orbital_gyrus
148,MUSE_right_mpog_postcentral_gyrus_medial_segment
149,MUSE_left_mpog_postcentral_gyrus_medial_segment
150,MUSE_right_mprg_precentral_gyrus_medial_segment
151,MUSE_left_mprg_precentral_gyrus_medial_segment
152,MUSE_right_msfg_superior_frontal_gyrus_medial_segment
153,MUSE_left_msfg_superior_frontal_gyrus_medial_segment
154,MUSE_right_mtg_middle_temporal_gyrus
155,MUSE_left_mtg_middle_temporal_gyrus
156,MUSE_right_ocp_occipital_pole
157,MUSE_left_ocp_occipital_pole
160,MUSE_right_ofug_occipital_fusiform_gyrus
161,MUSE_left_ofug_occipital_fusiform_gyrus
162,MUSE_right_opifg_opercular_part_of_the_inferior_frontal_gyrus
163,MUSE_left_opifg_opercular_part_of_the_inferior_frontal_gyrus
164,MUSE_right_orifg_orbital_part_of_the_inferior_frontal_gyrus
165,MUSE_left_orifg_orbital_part_of_the_inferior_frontal_gyrus
166,MUSE_right_pcgg_posterior_cingulate_gyrus
167,MUSE_left_pcgg_posterior_cingulate_gyrus
